list,wordlist_size,words_found_in_corpus,attestation_rate_pct,type_coverage_pct,token_coverage_pct,matched_token_frequency,total_corpus_tokens,paper_wordlist_size,paper_attestation_rate_pct,paper_type_coverage_pct,paper_token_coverage_pct
AWL,3107,1946,62.63276472481493,1.610460545371788,20.19126544949325,3302148,16354339,3107,62.63,1.61,20.19
NAWL,2598,1249,48.075442648190915,1.03364091529772,5.145851507664113,841570,16354339,2598,48.08,1.03,5.15
AVL,18558,15125,81.5012393576894,12.517068730086482,86.98569229853925,14225935,16354339,18558,81.5,12.52,86.99
HSWL_level1,3448,3206,92.98143851508121,2.6532047833822983,60.62869309484168,9915422,16354339,3448,92.98,2.65,60.63
CET4_level1,4543,4267,93.92471934844816,3.5312616377705135,72.25675706000713,11817115,16354339,4543,93.92,3.53,72.26
CET6_level1,8074,7580,93.88159524399306,6.273016923904498,82.31815422194686,13462590,16354339,8074,93.88,6.27,82.32
