list,wordlist_size,words_found_in_corpus,attestation_rate_pct,type_coverage_pct,token_coverage_pct,matched_token_frequency,total_corpus_tokens
AVL_wrong (used in paper),18558,15125,81.5012393576894,12.517068730086482,86.98569229853925,14225935,16354339
AVL_correct (Gardner & Davies 2014),6799,5586,82.15914105015443,4.622832788513262,50.47968615546003,8255619,16354339
