file_name,wordlist_size,words_found_in_corpus,wordlist_usage,unique_words_covered_by_wl,total_wordlist_frequency_in_corpus,total_corpus_frequency,frequency_coverage_percentage,words_not_covered
gen_addi_BEAWL.json,55816,25175,45.10355454,20.83419539,15026445,16354339,91.88047894,"disabil, sdv, parametric, fmv, cantlybelow"
gen_addi_BWL1.json,55880,25196,45.08947745,20.85157446,15025745,16354339,91.87619873,"disabil, sdv, parametric, fmv, cantlybelow"
gen_addi_BWL2.json,55869,25229,45.15742183,20.87888443,15105773,16354339,92.36553675,"disabil, sdv, parametric, fmv, cantlybelow"
gen_addi_EAWL.json,56367,25380,45.0263452,21.00384822,15169792,16354339,92.75698639,"disabil, sdv, parametric, fmv, cantlybelow"
